id(sha1);sha256;DDOS SCORE;family;size;bits;arch;bintype;endianess;lang;static;stripped;decompiled;DDOS Str score;dynamic IP;static IP;User agent;NET files;SYS files;PROC files;AUTOINSTALL bins;HIST files;SYS calls;while ratio;code suspect lines ration;functions;line/func ratio;whiles;source file
0fa1516714546998c360a143389614bf449ba2ac;deaaf3ce926663e945a0213ca0da447b2c9b50e182e8d8369e25b83797b56b15;0.76;;91495;32;x86;elf;little;c;1;0;1;74.67;1;1;1;1;1;1;1;1;0;22.71;1.82;252;234;149;../dataset2/NewMalware/files/63809dac-0fc7-4286-8b38-fe90eb1fccbb/stage2/wget
1034207b116984d3dac9b2d0003fc0875219a37b;02a942a96534dd3cb7d3e78ea11d45328cc27ea22d9a6ed7839ec2cadd287c98;0.32;;92568;32;mips;elf;little;c;1;1;1;41.33;1;1;0;1;1;1;0;0;0;14.46;0.22;203;447;73;../dataset2/NewMalware/files/c49cda14-e2c5-4c06-af8f-b6b790879e36/stage2/botmipselfinal
1089a63ab161fb356aef103f250d752f48237a40;478def359ead472296272f763facadcba0c5ff47e21e00759543b93fc91dd979;0.15;;72928;32;mips;elf;big;c;1;1;1;6.67;0;0;0;0;1;0;0;0;0;21.14;0.53;113;602;32;../dataset2/NewMalware/files/0b5143f3-e168-446c-b512-4af048fe1fee/stage1.dat
10d0efc40c87052c2029d2ca6984954e92b0ba80;9b33bf1e09eb1214232c786fb3cb5d6fa0a9f884105ad8d6607a471168c59104;0.96;;107487;32;m68k;elf;big;c;1;0;0;72.67;1;1;1;1;1;1;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/e5c62528-c4da-477e-a023-204d41e697b7/stage2/pftp
1120b910c766b37ea7afe12dd25312033f802266;df970518f5bd2ebe57b3222af19cb91b7a3871846c307b0da2549a26608e66cc;0.12;Mirai;48356;32;arm;elf;little;c;0;1;1;20.67;0;0;0;0;0;0;0;0;0;18.04;1.42;117;408;75;../dataset2/NewMalware/files/fcb2be76-a19e-4c0d-b590-295ea72626ee/stage2/xPlex.arm5n
117a101c3af8cb13acf8c2b3b0e4f5480dc456a5;6c973aa3b2a66a0b98b3999c9678f4d06fa67ed14c32957d96bb60392d95b0ae;0.96;Tsunami;270217;32;ppc;elf;big;c;1;0;0;91.33;1;1;1;1;1;0;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/tsunami/6c973aa3b2a66a0b98b3999c9678f4d06fa67ed14c32957d96bb60392d95b0ae
11a26fc1f8b89ed0c9b5b444e98360b5cfe7af43;efafa87dfd23893c9ec5bd12f54e06e3897ec73a691462368b736e50f5242cc8;0.15;Mirai;72928;32;mips;elf;big;c;1;1;1;6.67;0;0;0;0;1;0;0;0;0;21.14;0.53;113;602;32;../dataset2/mirai/efafa87dfd23893c9ec5bd12f54e06e3897ec73a691462368b736e50f5242cc8
11cb7ed19e2adaab52a9aae1b6a366f2b0de91aa;ba1d3245e64e88530d4974fa008de3ff51ddcd630d2c8a513b54915868d3ec0e;0.15;;28440;32;arm;elf;little;c;1;0;1;20.67;0;0;0;0;1;0;0;0;0;25.83;1.00;30;186;40;../dataset2/NewMalware/files/94f437f1-c62f-462d-9e8e-d4ad1f52d349/stage1.dat
1200791e40c68d0c4c7746f32fff7a1fd93e5f79;4b1a68eba79bde950e381e1d6ce6a22f538f7bdcdce9a52e871257d0f97a62e7;0.21;Mirai;64724;32;mips;elf;little;c;1;1;1;14.00;0;0;0;1;1;1;0;0;0;10.64;0.32;129;518;38;../dataset2/NewMalware/files/1d6b40d6-5ad4-4ff8-9e65-34beb629b7a9/stage1.dat
120cc483dff57454f6f2c7b41101d4e1401e85f4;e62a4d6242f71295c0117157b210056ccb656c1e5e778949eaa488f32068465d;0.09;Mirai;55828;32;arm;elf;little;c;1;1;1;0.67;0;0;0;0;1;0;0;0;0;17.00;0.49;149;407;117;../dataset2/NewMalware/files/fcb2be76-a19e-4c0d-b590-295ea72626ee/stage2/xPlex.arm
122e5a8a8b8b3ee16f7e78c332173302825d3504;d77b48706417b6ef0f87773ca046ab68160e8d1152ff9ccb4678b0e60b5891f0;0.15;Gafgyt;56696;32;arm;elf;little;c;1;1;1;4.67;0;0;0;0;1;1;0;0;0;21.69;0.52;192;253;133;../dataset2/matsuta/d77b48706417b6ef0f87773ca046ab68160e8d1152ff9ccb4678b0e60b5891f0
12bb8b546342d45c458f3124d9355b4fc8c8fb30;683151ee2fb08d3b5d20747588622df8acd2fe304a1841a3d97d77d0e76ac20a;0.82;;104245;32;x86;elf;little;c;1;0;1;80.00;1;1;1;1;1;1;1;1;1;21.22;2.40;260;258;179;../dataset2/NewMalware/files/4d02d779-b232-409c-ad7b-e33552e14dd3/stage2/ftp
12f30b5a3daf07f274b2b63ab32b6071ccedcadd;150e4db57373eb9dcbdedb8ab1f583ac4e45c0a0967b3024c7879583e5c55ead;0.04;;55124;32;m68k;elf;big;c;1;1;0;0.67;0;0;0;0;1;0;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/fcb2be76-a19e-4c0d-b590-295ea72626ee/stage2/xPlex.m68k
12f650ad8f51fd2023df910783daef16ce467413;16894889a533921af4094954dd4df418f152ac07a17a746dd68cd301d9d93434;0.24;;129523;32;arm;elf;little;c;1;0;1;60.00;0;0;0;0;1;1;0;0;0;18.99;1.13;274;359;262;../dataset2/NewMalware/files/86eef058-6d18-433d-8071-e33d2ca522eb/stage1.dat
138349f9d742adf7917c066ed26dd18b2c709c9e;c49b563320b2f534a473d6f3a04d612b4aa979b24257c7fc150bbdd0a7f99dd8;0.18;Mirai;57948;32;x86;elf;little;c;1;1;1;8.67;0;0;0;0;1;0;0;0;0;29.60;1.09;118;184;40;../dataset2/mirai/c49b563320b2f534a473d6f3a04d612b4aa979b24257c7fc150bbdd0a7f99dd8
