id;size;bits;arch;bintype;class;crypto;endian;lang;machine;nx;os;static;stripped;subsys;va;decompiled;sections;strings;source file
cc59b2fab2414a0d4ffc224fed94994c337feb2e;234636;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;0;linux;1;0;.comment|.data|.rodata|.shstrtab|.strtab|.symtab|.text|unknown;udp:18|socket:21|host:42|ping:2|tcp:10|connect:17|getpid:4|kill:31|icmp:1|dns:12|random:17;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmyi586
b8db1c6e503f1880b05f8b681fa64fae45236c10;372794;32;mips;elf;ELF32;0;big;c;MIPS R3000;0;linux;1;0;linux;1;0;.comment|.data|.got|.pdr|.rodata|.shstrtab|.strtab|.symtab|.text|LOAD0;udp:18|host:42|socket:19|ping:2|tcp:10|connect:17|getpid:4|kill:31|icmp:1|dns:12|random:17;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmymips
e3f04440e8e070cb4a9f30898d9087705767d9e3;267164;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;0;linux;1;0;.comment|.data|.init|.rodata|.shstrtab|.strtab|.text;random:17|dns:12|kill:31|icmp:1|connect:17|getpid:4|ping:2|tcp:10|host:42|socket:21|udp:18;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmysh4
ab1216a83b6176b359a184953f01053ae6180026;373559;32;mips;elf;ELF32;0;little;c;MIPS R3000;0;linux;1;0;linux;1;1;.comment|.data|.got|.reginfo|.rodata|.shstrtab|.strtab|.text;dns:12|random:17|icmp:1|kill:31|getpid:4|connect:17|tcp:10|ping:2|host:42|socket:19|udp:18;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmymipsel
15fd4935619852b8e4314df73f03fe2a5cab079f;43900;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/NewMalware/files/475ec484-2f66-48dc-8b10-4e3eec55c8d6/stage1.dat
99f4261d353bab381ac71e0469df8ad22533e1d8;71172;32;ppc;elf;ELF32;0;big;c;PowerPC;1;linux;1;0;linux;1;1;.comment|.data|.rodata|.shstrtab|.strtab|.text;kill:3|dns:2|random:10|getpid:4|connect:13|host:16|socket:8;../dataset2/NewMalware/files/d1e732ae-f81e-419a-8ce3-25c6a5d2c5d2/stage1.dat
b8fd24b808c72d65ec276cc8f6f2d7dbd67311aa;54272;64;x86;elf;ELF64;0;little;c;AMD x86-64 architecture;1;linux;1;1;linux;1;0;.rodata|.shstrtab|.text;;../dataset2/NewMalware/files/ae71461f-ff46-49d4-b03a-7e9e8ee9c41d/stage1.dat
ca58b383ab282a0adaddb51efcd40ee3908e1d0c;60492;32;ppc;elf;ELF32;0;big;c;PowerPC;1;linux;1;1;linux;1;1;.fini|.rodata|.shstrtab|.text;host:1|tcp:1;../dataset2/NewMalware/files/707deb7d-6024-4e84-b324-4dab73af16c5/stage1.dat
a3e8be6ebfbe5a28efc7cb1ee706de34e0a4596b;58180;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;1;linux;1;0;.rodata|.shstrtab|.text;host:1|tcp:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.sh4
83f7863916dfa4d78982b80a8ba10d2b0977aa80;58304;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.x86
47a061ec789187ed1cbde9a28449001540c8c431;78556;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.ARM.attributes|.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.arm7
f72ba2eaea9fab871bdb5c3640f691bf29b2b060;60668;32;ppc;elf;ELF32;0;big;c;PowerPC;1;linux;1;1;linux;1;1;.fini|.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.ppc
f332f343ff796dff17dd4023214b8e1022bdddde;56412;32;arm;elf;ELF32;0;little;c;ARM;0;linux;0;1;linux;1;1;.dynstr|.hash|.interp|.rodata|.shstrtab|.text;getpid:1|connect:1|kill:1|socket:1|host:1|tcp:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.arm5n
75018c4b601c99ab3d64f3609bb5d19f5c831c10;81604;32;mips;elf;ELF32;0;big;c;MIPS R3000;0;linux;1;1;linux;1;1;.got|.rodata|.shstrtab|.text|LOAD0;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.mips
023907607c0376bf417f2f543b32eb392a1a755d;83908;32;mips;elf;ELF32;0;little;c;MIPS R3000;0;linux;1;1;linux;1;1;.init|.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.mpsl
dfa56106aef31c4581be7462058671c0fc6701c4;65052;32;sparc;elf;ELF32;0;big;c;SUN SPARC;1;linux;1;1;linux;1;0;.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.spc
52656e08de7855f70766f6f3e6ae3c955a5d3a0d;63824;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;tcp:1|host:1;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.arm
dc50f470a2eee8a066e97fcdc83bc73c6bf24339;129539;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;0;linux;1;1;.ARM.attributes|.comment|.debug_abbrev|.debug_info|.debug_line|.debug_loc|.debug_pubnames|.debug_ranges|.debug_str|.rodata|.shstrtab|.strtab|.symtab|.text|unknown;socket:3|host:1|tcp:5|udp:6|kill:11|dns:1|connect:7|getpid:4;../dataset2/NewMalware/files/061b0b39-b6d6-4ddd-b6f3-6aaaf56ae377/stage1.dat
d165426e2a6cf92925a8501b7dfac4f42f602a30;63692;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;0;linux;1;0;.comment|.data|.fini|.rodata|.shstrtab|.strtab|.text;kill:3|dns:2|random:10|connect:13|getpid:4|socket:8|host:16;../dataset2/NewMalware/files/55a6361a-7f4f-4e53-98d7-0a3d947a6be0/stage2/r00tysh4
da006a0be8ce0bc05191ced7cf133f7e08ef80c1;78630;32;m68k;elf;ELF32;0;big;c;Motorola m68k family;1;linux;1;0;linux;1;0;.comment|.data|.fini|.init|.rodata|.shstrtab|.strtab|.text;socket:8|host:16|kill:4|dns:2|random:10|connect:13|getpid:4;../dataset2/NewMalware/files/55a6361a-7f4f-4e53-98d7-0a3d947a6be0/stage2/r00typftp
be7794391ed7676f58fb1142fb05351a4f8042e1;82131;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;0;linux;1;1;.comment|.data|.debug_abbrev|.debug_info|.debug_line|.rodata|.shstrtab|.strtab|.symtab|.text;getpid:4|connect:13|random:10|dns:2|kill:3|host:16|socket:6;../dataset2/NewMalware/files/55a6361a-7f4f-4e53-98d7-0a3d947a6be0/stage2/r00tyarm4
37fe9f537d79093645b8103f3a9924ded295f6bf;75561;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;0;linux;1;1;.comment|.data|.debug_abbrev|.debug_info|.debug_line|.rodata|.shstrtab|.strtab|.symtab|.text;host:16|socket:6|random:10|dns:2|kill:3|getpid:4|connect:13;../dataset2/NewMalware/files/55a6361a-7f4f-4e53-98d7-0a3d947a6be0/stage2/r00tyarm5
